trial_index,x0,x1,x2,x3,x4,x5,hartman6_mean_value
0_0,0.12,0.88,0.34,0.67,0.45,0.21,-0.493
0_1,0.73,0.05,0.91,0.29,0.56,0.62,-0.276
0_2,0.06,0.31,0.81,0.19,0.53,0.72,-0.936
0_3,0.69,0.94,0.44,0.63,0.12,0.28,-0.34
0_4,0.1,0.15,0.48,0.28,0.31,0.66,-3.193
0_0,0.12,0.88,0.34,0.67,0.45,0.21,-0.493
0_1,0.73,0.05,0.91,0.29,0.56,0.62,-0.276
0_2,0.06,0.31,0.81,0.19,0.53,0.72,-0.936
0_3,0.69,0.94,0.44,0.63,0.12,0.28,-0.34
0_4,0.1,0.15,0.48,0.28,0.31,0.66,-3.193
1_0,0.08,0.12,0.46,0.26,0.29,0.64,-3.09
1_1,0.14,0.17,0.52,0.31,0.33,0.68,-3.189
1_2,0.07,0.1,0.38,0.33,0.42,0.63,-2.421
1_3,0.02,0.08,0.41,0.23,0.25,0.59,-2.536
1_4,0.11,0.15,0.49,0.19,0.31,0.71,-2.958
0_0,0.15,0.65,0.35,0.85,0.25,0.55,-0.064
0_1,0.75,0.35,0.85,0.25,0.65,0.15,-0.025
0_2,0.5,0.5,0.5,0.5,0.5,0.5,-0.505
0_3,0.1,0.1,0.1,0.1,0.1,0.1,-0.07
0_4,0.4,0.4,0.4,0.4,0.4,0.4,-1.092
0_0,0.15,0.65,0.35,0.85,0.25,0.55,-0.064
0_1,0.75,0.35,0.85,0.25,0.65,0.15,-0.025
0_2,0.5,0.5,0.5,0.5,0.5,0.5,-0.505
0_3,0.1,0.1,0.1,0.1,0.1,0.1,-0.07
0_4,0.4,0.4,0.4,0.4,0.4,0.4,-1.092
